transactionID,AccountOriginID,AccountDestinationID,TransactionTypeID,Amount,BranchID,Description,TransactionDate,,
3000772,200132,201272,3,608.19,44,Transaction 99,11/28/17 3:00 PM,,
3000778,200575,201019,3,2666.61,15,Transaction 100,11/29/17 3:00 PM,,
3000787,201130,200291,3,4357.46,5,Transaction 101,11/30/17 3:00 PM,,
3000789,201047,200389,1,508.97,40,Transaction 102,12/1/17 3:00 PM,,
3000821,200638,200237,2,4551.99,32,Transaction 103,12/2/17 3:00 PM,,
3000826,200563,200874,3,4946.84,31,Transaction 104,12/3/17 3:00 PM,,
3000829,200910,201020,1,547.76,2,Transaction 105,12/4/17 3:00 PM,,
3000832,200186,200825,1,1606.34,30,Transaction 106,12/5/17 3:00 PM,,
3000835,200423,200916,2,2046.12,6,Transaction 107,12/6/17 3:00 PM,,
3000837,201461,201338,3,1269.56,32,Transaction 108,12/7/17 3:00 PM,,
3000845,200593,201396,3,2484.64,11,Transaction 109,12/8/17 3:00 PM,,
3000849,201557,200358,2,2747.84,7,Transaction 110,12/9/17 3:00 PM,,
3000851,200604,200947,3,475.4,46,Transaction 111,12/10/17 3:00 PM,,
3000853,201104,200924,1,911.23,7,Transaction 112,12/11/17 3:00 PM,,
3000855,201228,200838,1,3401.13,35,Transaction 113,12/12/17 3:00 PM,,
3000862,201418,201224,2,2812.16,1,Transaction 114,12/13/17 3:00 PM,,
3000895,200410,201330,3,1635.33,29,Transaction 115,12/14/17 3:00 PM,,
3000908,201294,200978,4,1212.2,20,Transaction 116,12/15/17 3:00 PM,,
3000916,200292,200775,3,3684.09,42,Transaction 117,12/16/17 3:00 PM,,
3000920,200928,200507,2,3769.56,3,Transaction 118,12/17/17 3:00 PM,,
3000933,201154,201547,3,1011.26,24,Transaction 119,12/18/17 3:00 PM,,
3000935,200038,200474,3,636.92,25,Transaction 120,12/19/17 3:00 PM,,
3000940,200430,200045,2,2363.9,15,Transaction 940,12/20/17 3:00 PM,,
3000941,201631,200364,1,2884.3,9,Transaction 941,12/21/17 3:00 PM,,
3000957,200023,201572,4,2628.23,25,Transaction 957,12/22/17 3:00 PM,,
3000958,200876,200301,2,4673.81,33,Transaction 958,12/23/17 3:00 PM,,
3000966,200648,201578,2,3958.18,8,Transaction 966,12/24/17 3:00 PM,,
3000979,201046,200193,1,1777.28,34,Transaction 979,12/25/17 3:00 PM,,
3001001,200172,200807,3,3603.59,37,Transaction 1001,12/26/17 3:00 PM,,
3001012,200664,200773,3,3667.74,29,Transaction 1012,12/27/17 3:00 PM,,
3001023,200042,201314,3,3236.09,8,Transaction 1023,12/28/17 3:00 PM,,
3001025,201556,201426,2,3969.38,26,Transaction 1025,12/29/17 3:00 PM,,
3001038,200445,200390,3,2794.65,2,Transaction 1038,12/30/17 3:00 PM,,
3001040,200027,200593,3,3151.99,49,Transaction 1040,12/31/17 3:00 PM,,
3001052,201089,200698,1,2717.97,41,Transaction 1052,1/1/18 3:00 PM,,
3001056,200939,201517,3,4757.91,27,Transaction 1056,1/2/18 3:00 PM,,
3001072,200434,200948,3,1634.57,25,Transaction 1072,1/3/18 3:00 PM,,
3001074,200696,200453,3,1644.81,31,Tranmaction 1074,1/4/18 3:00 PM,,
3001078,200006,200879,2,1810.78,23,Transaction 1078,1/5/18 3:00 PM,,
3001080,200923,200706,2,717.59,37,Transaction 1080,1/6/18 3:00 PM,,
3001082,200430,201134,3,4790.33,33,Transaction 1082,1/7/18 3:00 PM,,
3001101,200743,200963,2,2391.82,20,Transaction 1101,1/8/18 3:00 PM,,
3001111,201146,200453,3,4723.6,37,Transaction 1111,1/9/18 3:00 PM,,
3001143,201074,200726,4,4330.08,4,Transaction 1143,1/10/18 3:00 PM,,
3001152,200261,200431,2,492.1,27,Transaction 1152,1/11/18 3:00 PM,,
3001167,201008,200103,2,1398.06,44,Transaction 1167,1/12/18 3:00 PM,,
3001172,200773,201277,3,138.76,49,Transaction 1172,1/13/18 3:00 PM,,
3001174,200892,200100,4,2310.46,48,Transaction 1174,1/14/18 3:00 PM,,
3001180,200688,201221,3,857.16,4,Transaction 1180,1/15/18 3:00 PM,,
3001197,200122,200266,1,921.56,39,Transaction 1197,1/16/18 3:00 PM,,
3001214,200656,201283,3,3504.29,30,Transaction 1214,1/17/18 3:00 PM,,
3001217,200345,200442,2,166.44,49,Transaction 1217,1/18/18 3:00 PM,,
3001226,201269,200473,2,2058.44,8,Transaction 1226,1/19/18 3:00 PM,,
3001241,200391,201371,2,1965.95,19,Transaction 1241,1/20/18 3:00 PM,,
3001242,200496,201082,2,4299.29,3,Transaction 1242,1/21/18 3:00 PM,,
3001245,201527,200822,1,339.8,33,Transaction 1245,1/22/18 3:00 PM,,
3001248,200787,200332,1,3129.05,29,Transaction 1248,1/23/18 3:00 PM,,
3001250,200461,200368,1,3806.85,42,Transaction 1250,1/24/18 3:00 PM,,
3001264,200798,200018,3,1188.84,8,Transaction 1264,1/25/18 3:00 PM,,
3001266,200812,200074,2,3400.69,5,Transaction 1266,1/26/18 3:00 PM,,
3001270,201528,200368,2,1608,12,Transaction 1270,1/27/18 3:00 PM,,
3001276,200318,200015,1,2109.71,43,Transaction 1276,1/28/18 3:00 PM,,
3001294,200815,200666,3,302.22,2,Transaction 1294,1/29/18 3:00 PM,,
3001295,201511,200697,2,1225.86,47,Transaction 1295,1/30/18 3:00 PM,,
3001327,200559,201265,1,4884.63,20,Transaction 1327,1/31/18 3:00 PM,,
3001333,200504,200676,1,1117.92,17,Transaction 1333,2/1/18 3:00 PM,,
3001338,200114,200719,2,778.54,38,Transaction 1338,2/2/18 3:00 PM,,
3001347,200713,200162,2,4618.01,12,Transaction 1347,2/3/18 3:00 PM,,
3001350,200718,201484,2,2022.38,2,Transaction 1350,2/4/18 3:00 PM,,
3001355,201016,200646,4,4680.3,12,Transaction 1355,2/5/18 3:00 PM,,
3001364,201465,200719,1,986.72,13,Transaction 1364,2/6/18 3:00 PM,,
3001365,200152,200275,1,2938.88,21,Transaction 1365,2/7/18 3:00 PM,,
3001367,200591,201377,1,4548.76,37,Transaction 1367,2/8/18 3:00 PM,,
3001369,201535,200927,2,2234.58,24,Transaction 1369,2/9/18 3:00 PM,,
3001393,200674,200806,2,4482.43,39,Transaction 1393,2/10/18 3:00 PM,,
3001395,201247,200280,4,90.46,35,Transaction 1395,2/11/18 3:00 PM,,
3001409,200105,200783,2,4045.82,23,Transaction 1409,2/12/18 3:00 PM,,
3001441,200177,201019,2,62.73,22,Transaction 1441,2/13/18 3:00 PM,,
3001459,200826,200655,4,4201.67,3,Transaction 1459,2/14/18 3:00 PM,,
3001461,200695,200327,2,106.48,48,Transaction 1461,2/15/18 3:00 PM,,
3001469,201019,200387,4,3790.17,19,Transaction 1469,2/16/18 3:00 PM,,
3001487,200032,200023,2,4504.84,6,Transaction 1487,2/17/18 3:00 PM,,
3001495,201439,201137,2,4034.95,36,Transaction 1495,2/18/18 3:00 PM,,
3001497,201165,200217,2,3952.3,11,Transaction 1497,2/19/18 3:00 PM,,
3001500,201158,200324,2,2722.6,9,Transaction 1500,2/20/18 3:00 PM,,
3001501,200699,200572,2,2067.44,34,Transaction 1501,2/21/18 3:00 PM,,
3001512,201324,200631,2,2642.07,21,Transaction 1512,2/22/18 3:00 PM,,
3001518,200547,200903,1,3916.45,2,Transaction 1518,2/23/18 3:00 PM,,
3001519,200160,201307,4,310.94,47,Transaction 1519,2/24/18 3:00 PM,,
3001534,200120,201063,2,2069.57,30,Transaction 1534,2/25/18 3:00 PM,,
3001570,200810,200877,1,4763.62,45,Transaction 1570,2/26/18 3:00 PM,,
3001600,200017,200068,1,634.51,38,Transaction 1600,2/27/18 3:00 PM,,
3001606,201356,201314,2,2896.63,11,Transaction 1606,2/28/18 3:00 PM,,
3001609,200844,201350,3,4577.19,30,Transaction 1609,3/1/18 3:00 PM,,
3001615,200932,201178,1,804.53,38,Transaction 1615,3/2/18 3:00 PM,,
3001623,201634,201473,3,2383.79,23,Transaction 1623,3/3/18 3:00 PM,,
3001636,200606,200026,1,4914.91,8,Transaction 1636,3/4/18 3:00 PM,,
3001639,200131,200356,2,1718.3,47,Transaction 1639,3/5/18 3:00 PM,,
3001643,200302,201416,2,36.51,34,Transaction 1643,3/6/18 3:00 PM,,
3001644,201062,201189,4,3319.66,42,Transaction 1644,3/7/18 3:00 PM,,
3001652,201319,200886,3,984.69,31,Transaction 1652,3/8/18 3:00 PM,,
3001660,200097,200254,4,4883.58,22,Transaction 1660,3/9/18 3:00 PM,,
3001661,200174,201434,1,4789.23,26,Transaction 1661,3/10/18 3:00 PM,,
3001664,201273,200872,1,4315.48,14,Transaction 1664,3/11/18 3:00 PM,,
3001666,200872,201263,1,2448.74,18,Transaction 1666,3/12/18 3:00 PM,,
3001667,200057,201185,1,1509.29,31,Transaction 1667,3/13/18 3:00 PM,,
3001678,201136,201172,1,2100.68,24,Transaction 1678,3/14/18 3:00 PM,,
3001679,201161,200246,2,3598.16,10,Transaction 1679,3/15/18 3:00 PM,,
3001680,200719,201251,2,370.32,42,Transaction 1680,3/16/18 3:00 PM,,
3001690,200008,200339,3,408.95,15,Transaction 1690,3/17/18 3:00 PM,,
3001692,200004,200811,2,2500.69,46,Transaction 1692,3/18/18 3:00 PM,,
3001695,200217,200154,1,1129.05,5,Transaction 1695,3/19/18 3:00 PM,,
3001699,200241,200112,2,366.14,14,Transaction 1699,3/20/18 3:00 PM,,
3001707,200235,201619,1,3602,23,Transaction 1707,3/21/18 3:00 PM,,
3001725,200597,200233,2,2559.89,46,Transaction 1725,3/22/18 3:00 PM,,
3001733,201208,200842,1,4111.59,37,Transaction 1733,3/23/18 3:00 PM,,
3001741,200544,201603,3,2653.44,19,Transaction 1741,3/24/18 3:00 PM,,
3001756,200442,200385,2,4104.66,48,Transaction 1756,3/25/18 3:00 PM,,
3001767,200815,200290,4,616.43,42,Transaction 1767,3/26/18 3:00 PM,,
3001778,201482,201502,3,1816.44,33,Transaction 1778,3/27/18 3:00 PM,,
3001781,200889,200604,1,2726.32,28,Transaction 1781,3/28/18 3:00 PM,,
3001782,200998,201237,2,2060.99,49,Transaction 1782,3/29/18 3:00 PM,,
3001789,201344,200072,3,3096.29,34,Transaction 1789,3/30/18 3:00 PM,,
3001795,201335,200072,3,16.47,40,Transaction 1795,3/31/18 3:00 PM,,
3001801,200898,200162,3,833.1,49,Transaction 1801,4/1/18 3:00 PM,,
3001808,201424,200704,1,3337.33,30,Transaction 1808,4/2/18 3:00 PM,,
3001831,200598,200396,3,4906.2,48,Transaction 1831,4/3/18 3:00 PM,,
3001839,200926,200179,2,4228.83,27,Transaction 1839,4/4/18 3:00 PM,,
3001840,201646,201486,2,3052.98,43,Transaction 1840,4/5/18 3:00 PM,,
3001841,201235,200610,1,1445.63,31,Transaction 1841,4/6/18 3:00 PM,,
3001845,200037,201023,3,3564.74,35,Transaction 1845,4/7/18 3:00 PM,,
3001850,200645,201522,2,694.41,47,Transaction 1850,4/8/18 3:00 PM,,
3001852,201189,200321,3,4464.75,16,Transaction 1852,4/9/18 3:00 PM,,
3001859,201512,200868,1,631.24,45,Transaction 1859,4/10/18 3:00 PM,,
3001886,201644,201276,4,2652.98,25,Transaction 1886,4/11/18 3:00 PM,,
3001889,201397,201118,3,175.64,24,Transaction 1889,4/12/18 3:00 PM,,
3001890,201467,201458,3,2896.41,12,Transaction 1890,4/13/18 3:00 PM,,
3001891,200509,200727,2,979,14,Transaction 1891,4/14/18 3:00 PM,,
3001901,201354,201020,1,4560.83,43,Transaction 1901,4/15/18 3:00 PM,,
3001909,201208,200438,1,4754.4,5,Transaction 1909,4/16/18 3:00 PM,,
3001911,200492,200036,3,1873.27,28,Transaction 1911,4/17/18 3:00 PM,,
3001921,200303,200460,4,3757.93,18,Transaction 1921,4/18/18 3:00 PM,,
3001922,200863,201027,3,4083.67,37,Transaction 1922,4/19/18 3:00 PM,,
3001953,200332,200569,3,3882.5,46,Transaction 1953,4/20/18 3:00 PM,,
3001967,200101,201009,1,3570.91,12,Transaction 1967,4/21/18 3:00 PM,,
3001971,200092,201209,3,4185.24,7,Transaction 1971,4/22/18 3:00 PM,,
3001980,200903,201246,3,929.6,5,Transaction 1980,4/23/18 3:00 PM,,
3001992,200998,200038,2,2624.05,44,Transaction 1992,4/24/18 3:00 PM,,
3002000,200113,200727,1,3969.39,29,Transaction 2000,4/25/18 3:00 PM,,
3002010,201469,200490,4,169.71,48,Transaction 2010,4/26/18 3:00 PM,,
3002012,200441,201233,1,780.28,28,Transaction 2012,4/27/18 3:00 PM,,
3002018,200483,200761,3,1545.33,47,Transaction 2018,4/28/18 3:00 PM,,
3002023,200097,201454,3,601.63,44,Transaction 2023,4/29/18 3:00 PM,,
3002027,201628,200562,1,4416.89,42,Transaction 2027,4/30/18 3:00 PM,,
3002029,200065,201261,2,3252.26,5,Transaction 2029,5/1/18 3:00 PM,,
3002031,201468,201570,3,1301.16,50,Transaction 2031,5/2/18 3:00 PM,,
3002044,201202,201340,2,1135.88,36,Transaction 2044,5/3/18 3:00 PM,,
3002052,200013,200153,2,2183.09,15,Transaction 2052,5/4/18 3:00 PM,,
3002060,200492,201455,1,3322.6,18,Transaction 2060,5/5/18 3:00 PM,,
3002067,201242,201544,1,4783.66,6,Transaction 2067,5/6/18 3:00 PM,,
3002069,200134,200113,1,4132.81,27,Transaction 2069,5/7/18 3:00 PM,,
3002076,201436,200445,4,2331.5,24,Transaction 2076,5/8/18 3:00 PM,,
3002079,200067,200186,3,4218.2,27,Transaction 2079,5/9/18 3:00 PM,,
3002088,201482,200815,1,1411.38,19,Transaction 2088,5/10/18 3:00 PM,,
3002089,200025,201516,1,2124.14,27,Transaction 2089,5/11/18 3:00 PM,,
3002135,201103,201265,4,2083.36,40,Transaction 2135,5/12/18 3:00 PM,,
3002136,200943,200662,4,2916.19,3,Transaction 2136,5/13/18 3:00 PM,,
3002145,200506,201438,2,3347.52,4,Transaction 2145,5/14/18 3:00 PM,,
3002156,200995,201405,3,2692.27,3,Transaction 2156,5/15/18 3:00 PM,,
3002158,201237,201629,1,1138.75,19,Transaction 2158,5/16/18 3:00 PM,,
3002161,200964,201382,3,4340.66,34,Transaction 2161,5/17/18 3:00 PM,,
3002167,200383,200329,3,1874.92,26,Transaction 2167,5/18/18 3:00 PM,,
3002174,200999,201442,3,2155.32,12,Transaction 2174,5/19/18 3:00 PM,,
3002176,200181,200006,1,3382.47,2,Transaction 2176,5/20/18 3:00 PM,,
3002178,200297,201103,2,411.48,25,Transaction 2178,5/21/18 3:00 PM,,
3002191,200895,200956,3,4899.76,40,Transaction 2191,5/22/18 3:00 PM,,
3002211,201211,200165,2,3848.67,17,Transaction 2211,5/23/18 3:00 PM,,
3002212,201447,200554,1,573.03,50,Transaction 2212,5/24/18 3:00 PM,,
3002213,200022,200219,2,4979.19,33,Transaction 2213,5/25/18 3:00 PM,,
3002218,201103,201187,2,1103.17,44,Transaction 2218,5/26/18 3:00 PM,,
3002220,200252,200399,3,2079.19,1,Transaction 2220,5/27/18 3:00 PM,,
3002242,201592,200445,2,987.49,23,Transaction 2242,5/28/18 3:00 PM,,
3002251,201200,200284,3,1476.3,45,Transaction 2251,5/29/18 3:00 PM,,
3002258,200632,200010,1,2242.74,48,Transaction 2258,5/30/18 3:00 PM,,
3002262,201232,201081,2,1074.14,1,Transaction 2262,5/31/18 3:00 PM,,
3002267,200112,200368,2,2941.89,20,Transaction 2267,6/1/18 3:00 PM,,
3002273,200048,201297,3,4014.84,28,Transaction 2273,6/2/18 3:00 PM,,
3002292,201255,200468,2,2994.12,26,Transaction 2292,6/3/18 3:00 PM,,
3002306,201439,200478,1,3693.43,43,Transaction 2306,6/4/18 3:00 PM,,
3002310,201219,201623,2,2152.31,29,Transaction 2310,6/5/18 3:00 PM,,
3002321,201569,200794,2,1982.79,15,Transaction 2321,6/6/18 3:00 PM,,
3002325,201233,200714,2,16.14,35,Transaction 2325,6/7/18 3:00 PM,,
3002338,200947,201601,2,2560.16,33,Transaction 2338,6/8/18 3:00 PM,,
3002349,200410,201249,2,4025.09,13,Transaction 2349,6/9/18 3:00 PM,,
3002367,201268,200052,3,3856.35,36,Transaction 2367,6/10/18 3:00 PM,,
3002388,200515,201639,2,763.92,35,Transaction 2388,6/11/18 3:00 PM,,
3002392,201315,201459,2,1920.22,22,Transaction 2392,6/12/18 3:00 PM,,
3002393,200666,200799,1,2099.48,19,Transaction 2393,6/13/18 3:00 PM,,
3002403,200068,200862,1,3027.7,43,Transaction 2403,6/14/18 3:00 PM,,
3002404,200878,200299,1,2196.69,43,Transaction 2404,6/15/18 3:00 PM,,
3002411,200401,200840,1,1701.76,9,Transaction 2411,6/16/18 3:00 PM,,
3002419,200765,200506,4,528.44,17,Transaction 2419,6/17/18 3:00 PM,,
3002429,201436,200479,3,1584.44,23,Transaction 2429,6/18/18 3:00 PM,,
3002442,200912,200714,2,2652.43,14,Transaction 2442,6/19/18 3:00 PM,,
3002457,200282,201602,2,3438.14,13,Transaction 2457,6/20/18 3:00 PM,,
3002499,200605,201305,3,4504.81,9,Transaction 2499,6/21/18 3:00 PM,,
3002506,201253,200943,2,329.88,8,Transaction 2506,6/22/18 3:00 PM,,
3002508,201215,200419,3,671.48,18,Transaction 2508,6/23/18 3:00 PM,,
3002515,201549,200818,1,4137.31,15,Transaction 2515,6/24/18 3:00 PM,,
3002532,201538,200537,1,481.68,13,Transaction 2532,6/25/18 3:00 PM,,
3002533,200197,201076,3,2598.33,38,Transaction 2533,6/26/18 3:00 PM,,
3002545,200258,200036,3,2387.94,23,Transaction 2545,6/27/18 3:00 PM,,
3002565,200336,200634,1,3724.55,42,Transaction 2565,6/28/18 3:00 PM,,
3002603,200311,200266,4,1874.54,7,Transaction 2603,6/29/18 3:00 PM,,
3002607,200966,200786,1,4583.37,42,Transaction 2607,6/30/18 3:00 PM,,
3002618,200719,200849,2,2142.66,5,Transaction 2618,7/1/18 3:00 PM,,
3002641,200760,200453,1,1924.27,31,Transaction 2641,7/2/18 3:00 PM,,
3002657,201482,201429,2,1335.71,13,Transaction 2657,7/3/18 3:00 PM,,
3002658,200308,201535,3,2995.62,13,Transaction 2658,7/4/18 3:00 PM,,
3002668,200173,200267,2,581.49,30,Transaction 2668,7/5/18 3:00 PM,,
3002671,201534,200964,1,1612.71,12,Transaction 2671,7/6/18 3:00 PM,,
3002673,201180,201526,3,4847.99,8,Transaction 2673,7/7/18 3:00 PM,,
3002708,200819,201513,3,80.1,16,Transaction 2708,7/8/18 3:00 PM,,
3002713,200710,200978,2,4019.26,8,Transaction 2713,7/9/18 3:00 PM,,
3002729,200235,200630,1,1978.9,30,Transaction 2729,7/10/18 3:00 PM,,
3002730,200353,201489,1,4518.62,19,Transaction 2730,7/11/18 3:00 PM,,
3002731,200153,201269,2,697.21,10,Transaction 2731,7/12/18 3:00 PM,,
3002733,200817,201361,3,4105.35,1,Transaction 2733,7/13/18 3:00 PM,,
3002755,200145,200610,1,3600.05,16,Transaction 2755,7/14/18 3:00 PM,,
3002760,201548,200658,2,4183.42,29,Transaction 2760,7/15/18 3:00 PM,,
3002766,201026,200525,2,1645.76,35,Transaction 2766,7/16/18 3:00 PM,,
3002771,200788,200270,1,3758.94,49,Transaction 2771,7/17/18 3:00 PM,,
3002800,201262,201507,1,427.79,11,Transaction 2800,7/18/18 3:00 PM,,
3002802,200430,200287,3,3168.17,44,Transaction 2802,7/19/18 3:00 PM,,
3002803,200177,200493,3,4359.59,12,Transaction 2803,7/20/18 3:00 PM,,
3002806,200575,200165,3,4090.69,48,Transaction 2806,7/21/18 3:00 PM,,
3002820,200599,200656,3,4125.58,35,Transaction 2820,7/22/18 3:00 PM,,
3002847,201590,200069,2,561.61,46,Transaction 2847,7/23/18 3:00 PM,,
3002855,201410,200463,2,2321.31,40,Transaction 2855,7/24/18 3:00 PM,,
3002863,200289,200336,3,209.69,11,Transaction 2863,7/25/18 3:00 PM,,
3002865,200424,200160,1,4835.97,20,Transaction 2865,7/26/18 3:00 PM,,
3002873,201235,200082,2,1099.76,26,Transaction 2873,7/27/18 3:00 PM,,
3002884,200363,200613,1,1423.64,50,Transaction 2884,7/28/18 3:00 PM,,
3002885,200621,200410,3,3276.13,30,Transaction 2885,7/29/18 3:00 PM,,
3002892,201156,200216,1,4685.03,41,Transaction 2892,7/30/18 3:00 PM,,
3002896,201362,200687,1,3297.14,7,Transaction 2896,7/31/18 3:00 PM,,
